permit_number,permit_type,rsn,building_address,permit_address,match_method,site_relation,work_category,predates_building,same_property,described_correctly,note
16 194671 BLD,Building Additions/Alterations,4154703,55 ELLERSLIE AVE,55 ELLERSLIE AVE,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
19 214423 PLB,Plumbing(PS),4155174,8 CASTLETON AVE,8 CASTLETON AVE,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
16 123447 BLD,Building Additions/Alterations,4154755,175 CUMMER AVE,175 CUMMER AVE,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
16 238495 BLD,Building Additions/Alterations,4152935,40 HIGH PARK AVE,40 HIGH PARK AVE,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
16 205914 BLD,Building Additions/Alterations,4154151,43 THORNCLIFFE PARK DR,43 THORNCLIFFE PARK DR,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
23 179840 BLD,Building Additions/Alterations,5566009,30 MUTUAL ST,30 MUTUAL ST,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,true,yes,no,restaurant fit-out in a ground-floor commercial unit; structure type says building
23 115086 BLD,Building Additions/Alterations,4153937,755 AVENUE RD,755 AVENUE RD,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
19 198018 HVA,Mechanical(MS),4153538,55 CHARLES ST E,55 CHARLES ST E,ADDRESS,BUILDING,NEW_CONSTRUCTION,false,yes,yes,HVAC for new 50-storey tower on the site
12 109269 BLD,Building Additions/Alterations,4155346,123 LA ROSE AVE,123 LA ROSE AVE,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
18 233354 PLB,Plumbing(PS),4153505,110 WELLESLEY ST E,110 WELLESLEY ST E,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
18 198526 PLB,Plumbing(PS),4153788,365 EGLINTON AVE E,365 EGLINTON AVE E,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
21 123137 PLB,Plumbing(PS),4156153,7 RICHGROVE DR,7 RICHGROVE DR,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,description also mentions 21 Richgrove Dr (same complex)
13 169436 PLB,Plumbing(PS),4153348,599 ST CLAIR AVE W,599 ST CLAIR AVE W,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
23 140919 BLD,Building Additions/Alterations,4153692,419 WOODBINE AVE,419 WOODBINE AVE,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
19 183633 BLD,Building Additions/Alterations,4156581,6061 YONGE ST,6043-6071 YONGE ST,PERMIT_RANGE,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
99 021390 FSU,Fire/Security Upgrade,4153618,852 BROADVIEW AVE,852-854 BROADVIEW AVE,PERMIT_RANGE,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,range 852-854 covers the building
19 149037 PLB,Plumbing(PS),4167763,5 NEEDLE FIRWAY,5-36 NEEDLE FIRWAY,PERMIT_RANGE,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
19 147174 SHO,Conditional Permit,4156174,1 MEADOWGLEN PL,1-2 MEADOWGLEN PL,PERMIT_RANGE,BUILDING,NEW_CONSTRUCTION,false,yes,yes,shoring for new 28-storey condo (Building C) on the site
20 212321 FSU,Fire/Security Upgrade,4154645,521-523 FINCH AVE W,521-523 FINCH AVE W,PERMIT_RANGE,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
18 232257 BLD,Building Additions/Alterations,4152677,835-841 BIRCHMOUNT RD,835-841 BIRCHMOUNT RD,PERMIT_RANGE,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
14 263318 STS,Drain and Site Service,4156174,1 MEADOWGLEN PL,1-2 MEADOWGLEN PL,PERMIT_RANGE,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,drains for new 28-storey mixed-use building on the site
05 211932 BLD,Building Additions/Alterations,4156756,2468 EGLINTON AVE W,2468-2478 EGLINTON AVE W,PERMIT_RANGE,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
12 165876 PLB,Plumbing(PS),4265057,2575 DANFORTH AVE,2575 DANFORTH AVE,ADDRESS,NON_RESIDENTIAL_SPACE,ALTERATION_OR_REPAIR,false,yes,yes,
25 246891 HVA,Mechanical(MS),4153710,2 MAIN ST,2 MAIN ST,ADDRESS,NON_RESIDENTIAL_SPACE,ALTERATION_OR_REPAIR,false,yes,yes,
17 126762 FND,Conditional Permit,4915493,18 ERSKINE AVE,18 ERSKINE AVE,ADDRESS,NON_RESIDENTIAL_SPACE,NEW_CONSTRUCTION,true,yes,yes,foundation permit for this building's own construction (built 2020)
21 245262 HVA,Mechanical(MS),5035611,25 ORDNANCE ST,25 ORDNANCE ST,ADDRESS,NON_RESIDENTIAL_SPACE,ALTERATION_OR_REPAIR,false,yes,yes,
22 174282 FSU,Fire/Security Upgrade,5035611,25 ORDNANCE ST,25 ORDNANCE ST,ADDRESS,NON_RESIDENTIAL_SPACE,ALTERATION_OR_REPAIR,false,yes,yes,
07 111371 HVA,Mechanical(MS),4153423,167 CHURCH ST,167 CHURCH ST,ADDRESS,NON_RESIDENTIAL_SPACE,ALTERATION_OR_REPAIR,false,yes,yes,
19 251846 P37,Plumbing(PS),4154730,17 FARMSTEAD RD,17 FARMSTEAD RD,ADDRESS,OTHER_STRUCTURE_ON_SITE,ALTERATION_OR_REPAIR,false,yes,yes,
19 251846 B25,New Houses,4154730,17 FARMSTEAD RD,17 FARMSTEAD RD,ADDRESS,OTHER_STRUCTURE_ON_SITE,NEW_CONSTRUCTION,false,yes,yes,
04 176514 BLD,New Houses,4890985,1100 KING ST W,1100 KING ST W,ADDRESS,OTHER_STRUCTURE_ON_SITE,NEW_CONSTRUCTION,true,yes,yes,
19 251764 B25,New Houses,4154730,17 FARMSTEAD RD,17 FARMSTEAD RD,ADDRESS,OTHER_STRUCTURE_ON_SITE,NEW_CONSTRUCTION,false,yes,yes,
19 251764 B02,New Houses,4154730,17 FARMSTEAD RD,17 FARMSTEAD RD,ADDRESS,OTHER_STRUCTURE_ON_SITE,NEW_CONSTRUCTION,false,yes,yes,
90 251048 DEM,Demolition Folder (DM),4269245,6 FOREST LANEWAY,6 FOREST LANEWAY,ADDRESS,OTHER_STRUCTURE_ON_SITE,DEMOLITION,false,yes,yes,1990 partial demolition
